D,L,Pe,anchored_return_ci_hi,anchored_return_ci_lo,anchored_return_rate,anchored_tail_count,anchored_tail_count_ci_hi,anchored_tail_count_ci_lo,ci_hi,ci_lo,coarse_anchored_rate,delta,discovery_fraction,discovery_fraction_ci_hi,discovery_fraction_ci_lo,discovery_fraction_ratio,discovery_fraction_ratio_ci_hi,discovery_fraction_ratio_ci_lo,endpoint_r2,endpoint_r2_ci_hi,endpoint_r2_ci_lo,estimate,exact_unique_fraction,expected_backtrack_rate,expected_slope,full_anchored_count,full_anchored_count_ci_hi,full_anchored_count_ci_lo,full_ci_hi,full_ci_lo,full_historical,full_historical_ci_hi,full_historical_ci_lo,full_historical_ratio,full_historical_ratio_ci_hi,full_historical_ratio_ci_lo,full_ratio_ci_hi,full_ratio_ci_lo,full_ratio_to_neutral,full_tail,gamma,high_dimension,historical_lag_1,historical_lag_1_ci_hi,historical_lag_1_ci_lo,historical_lag_32,historical_lag_32_ci_hi,historical_lag_32_ci_lo,historical_lag_8,historical_lag_8_ci_hi,historical_lag_8_ci_lo,horizon,horizon_per_state,informative_projection,kind,m,metric,model,new_state_ci_hi,new_state_ci_lo,new_state_rate,occupied_ci_hi,occupied_ci_lo,occupied_fraction,predicted_anchored_recurrent,predicted_cdt_separation,predicted_recurrent,projected_anchored_count,projected_anchored_count_ci_hi,projected_anchored_count_ci_lo,projected_ci_hi,projected_ci_lo,projected_historical,projected_historical_ci_hi,projected_historical_ci_lo,projected_historical_ratio,projected_historical_ratio_ci_hi,projected_historical_ratio_ci_lo,projected_ratio_ci_hi,projected_ratio_ci_lo,projected_ratio_to_neutral,projected_tail,quantitative_match,registered_label,self_repulsion,slope,slope_ci_hi,slope_ci_lo,states,suite,two_step_backtrack_rate,two_step_backtrack_rate_ci_hi,two_step_backtrack_rate_ci_lo
4,,,,,,,,,30.726709375000002,28.9288125,,,,,,,,,,,,29.841625,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,,,,1,tail_green_increment,,,,,,,,,True,True,,,,,,,,,,,,,,,,True,,,0.4934963766546709,0.5091960072902072,0.47969356467038937,,S1_projection,,,
4,,,,,,,,,0.49375625,0.420375,,,,,,,,,,,,0.456125,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,,,2,tail_green_increment,,,,,,,,,True,True,,,,,,,,,,,,,,,,True,,,-0.01638197166016301,0.029963976569136828,-0.06530814564332577,,S1_projection,,,
4,,,,,,,,,0.493946875,0.41275,,,,,,,,,,,,0.45125,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,512,,,,2,tail_green_increment,,,,,,,,,True,True,,,,,,,,,,,,,,,,True,,,-0.01638197166016301,0.029963976569136828,-0.06530814564332577,,S1_projection,,,
4,,,,,,,,,0.48500624999999997,0.40793437499999996,,,,,,,,,,,,0.446,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,,2,tail_green_increment,,,,,,,,,True,True,,,,,,,,,,,,,,,,True,,,-0.01638197166016301,0.029963976569136828,-0.06530814564332577,,S1_projection,,,
4,,,,,,,,,0.46706562500000004,0.388434375,,,,,,,,,,,,0.428,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,2,tail_green_increment,,,,,,,,,True,True,,,,,,,,,,,,,,,,True,,,-0.01638197166016301,0.029963976569136828,-0.06530814564332577,,S1_projection,,,
4,,,,,,,,,0.490078125,0.39628437499999997,,,,,,,,,,,,0.4425,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,,,,2,tail_green_increment,,,,,,,,,True,True,,,,,,,,,,,,,,,,True,,,-0.01638197166016301,0.029963976569136828,-0.06530814564332577,,S1_projection,,,
4,,,,,,,,,0.032,0.021309375000000002,,,,,,,,,,,,0.026375,,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,,,3,tail_green_increment,,,,,,,,,False,False,,,,,,,,,,,,,,,,True,,,-0.4541852660692639,-0.29545335775902654,-0.6076528598015998,,S1_projection,,,
4,,,,,,,,,0.027946874999999993,0.016184375,,,,,,,,,,,,0.021,,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,512,,,,3,tail_green_increment,,,,,,,,,False,False,,,,,,,,,,,,,,,,True,,,-0.4541852660692639,-0.29545335775902654,-0.6076528598015998,,S1_projection,,,
4,,,,,,,,,0.016690624999999997,0.008625,,,,,,,,,,,,0.01225,,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,,3,tail_green_increment,,,,,,,,,False,False,,,,,,,,,,,,,,,,True,,,-0.4541852660692639,-0.29545335775902654,-0.6076528598015998,,S1_projection,,,
4,,,,,,,,,0.012875,0.006,,,,,,,,,,,,0.0095,,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,3,tail_green_increment,,,,,,,,,False,False,,,,,,,,,,,,,,,,True,,,-0.4541852660692639,-0.29545335775902654,-0.6076528598015998,,S1_projection,,,
4,,,,,,,,,0.011690624999999998,0.005,,,,,,,,,,,,0.008125,,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,,,,3,tail_green_increment,,,,,,,,,False,False,,,,,,,,,,,,,,,,True,,,-0.4541852660692639,-0.29545335775902654,-0.6076528598015998,,S1_projection,,,
4,,,,,,,,,0.002,0.000625,,,,,,,,,,,,0.00125,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,,,4,tail_green_increment,,,,,,,,,False,False,,,,,,,,,,,,,,,,True,,,-0.6906890595608524,0.2008496250072127,-1.0322684786472671,,S1_projection,,,
4,,,,,,,,,0.0015656249999999971,0.000125,,,,,,,,,,,,0.00075,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,512,,,,4,tail_green_increment,,,,,,,,,False,False,,,,,,,,,,,,,,,,True,,,-0.6906890595608524,0.2008496250072127,-1.0322684786472671,,S1_projection,,,
4,,,,,,,,,0.0013156249999999971,0.000125,,,,,,,,,,,,0.000625,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,,4,tail_green_increment,,,,,,,,,False,False,,,,,,,,,,,,,,,,True,,,-0.6906890595608524,0.2008496250072127,-1.0322684786472671,,S1_projection,,,
4,,,,,,,,,0.0015656249999999971,0.0,,,,,,,,,,,,0.000625,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,4,tail_green_increment,,,,,,,,,False,False,,,,,,,,,,,,,,,,True,,,-0.6906890595608524,0.2008496250072127,-1.0322684786472671,,S1_projection,,,
4,,,,,,,,,0.000375,0.0,,,,,,,,,,,,0.000125,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,,,,4,tail_green_increment,,,,,,,,,False,False,,,,,,,,,,,,,,,,True,,,-0.6906890595608524,0.2008496250072127,-1.0322684786472671,,S1_projection,,,
5,,,,,,,,,8.5431125,8.016509375,,,,,,,,,,,,8.257625,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,,,1,tail_green_increment,,,,,,,,,True,True,,,,,,,,,,,,,,,,True,,,0.5150176662955223,0.5310896403536367,0.49944535100023796,,S1_projection,,,
5,,,,,,,,,12.184715624999999,11.405503125,,,,,,,,,,,,11.8065,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,512,,,,1,tail_green_increment,,,,,,,,,True,True,,,,,,,,,,,,,,,,True,,,0.5150176662955223,0.5310896403536367,0.49944535100023796,,S1_projection,,,
5,,,,,,,,,17.465525000000003,16.349275,,,,,,,,,,,,16.94225,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,,1,tail_green_increment,,,,,,,,,True,True,,,,,,,,,,,,,,,,True,,,0.5150176662955223,0.5310896403536367,0.49944535100023796,,S1_projection,,,
5,,,,,,,,,24.76686875,23.149353125,,,,,,,,,,,,23.999125,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,1,tail_green_increment,,,,,,,,,True,True,,,,,,,,,,,,,,,,True,,,0.5150176662955223,0.5310896403536367,0.49944535100023796,,S1_projection,,,
5,,,,,,,,,35.528225,33.32381875,,,,,,,,,,,,34.514125,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,4096,,,,1,tail_green_increment,,,,,,,,,True,True,,,,,,,,,,,,,,,,True,,,0.5150176662955223,0.5310896403536367,0.49944535100023796,,S1_projection,,,
5,,,,,,,,,0.5615718749999999,0.481553125,,,,,,,,,,,,0.5245,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,,,2,tail_green_increment,,,,,,,,,True,True,,,,,,,,,,,,,,,,True,,,0.026331036346471545,0.0703810240981919,-0.020439483965407637,,S1_projection,,,
5,,,,,,,,,0.585625,0.49361875,,,,,,,,,,,,0.535875,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,512,,,,2,tail_green_increment,,,,,,,,,True,True,,,,,,,,,,,,,,,,True,,,0.026331036346471545,0.0703810240981919,-0.020439483965407637,,S1_projection,,,
5,,,,,,,,,0.636596875,0.528290625,,,,,,,,,,,,0.584375,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,,2,tail_green_increment,,,,,,,,,True,True,,,,,,,,,,,,,,,,True,,,0.026331036346471545,0.0703810240981919,-0.020439483965407637,,S1_projection,,,
5,,,,,,,,,0.58404375,0.48430625,,,,,,,,,,,,0.535625,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,,,,2,tail_green_increment,,,,,,,,,True,True,,,,,,,,,,,,,,,,True,,,0.026331036346471545,0.0703810240981919,-0.020439483965407637,,S1_projection,,,
